endTime,artistName,trackName,msPlayed
2019-11-03 13:39,Gramatik,"Satoshi Nakamoto (feat. Adrian Lau, ProbCause)",266670
2019-11-03 13:44,BROCKHAMPTON,JUNKY,276448
2019-11-03 13:45,Abhi The Nomad,Letter for God,87849
2019-11-03 13:46,half•alive,still feel.,630
2019-11-03 13:46,Paramore,Misery Business,570
2019-11-03 13:46,Seth Sentry,Run,770
2019-11-03 13:46,Bowling For Soup,1985,730
2019-11-03 13:46,Lotus ,The Opus (Live),1180
2019-11-03 13:46,Özün Çağan Altun,hoppi,610
2019-11-03 13:46,NugLife,The Love Dispensary,980
2019-11-03 13:46,Flatbush Zombies,Headstone,6980
2019-11-03 13:46,Twiddle,Syncopated Healing,11670
2019-11-03 13:46,Orleans,Still the One,790
2019-11-03 13:46,Marlowe,Tales from the East,620
2019-11-03 13:46,The Wombats,Let's Dance to Joy Division,720
2019-11-03 13:46,Mac Miller,Knock Knock,2910
2019-11-03 13:46,Red Hot Chili Peppers,Scar Tissue,710
2019-11-03 13:46,Dustbowl Revival,Gonna Fix You,560
2019-11-03 13:46,Chill Bump,Modern Man Intermission,1000
2019-11-03 13:46,Lupe Fiasco,"Adoration of the Magi (feat. Crystal ""Røvél"" Torres)",630
2019-11-03 13:46,Caesars,Jerk It Out,0
2019-11-03 13:46,Capital Cities,Farrah Fawcett Hair,650
2019-11-03 13:46,Perpetual Groove,Three Weeks,18700
2019-11-03 13:46,Sleepwalkers,Cocaine,740
2019-11-03 13:46,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",630
2019-11-03 13:46,Royal Blood,Figure It Out,650
2019-11-03 13:46,Vampire Weekend,A-Punk,1340
2019-11-03 13:46,Hobo Johnson,Subaru Crosstrek XV,980
2019-11-03 13:46,The Strokes,Last Nite,670
2019-11-03 13:46,Trey Anastasio,Clint Eastwood,760
2019-11-03 13:46,Freddie Gibbs,Stay Down,580
2019-11-03 13:46,Madvillain,All Caps,760
2019-11-03 13:46,Isaiah Rashad,Cilvia Demo,720
2019-11-03 13:51,Twiddle,Syncopated Healing,278291
2019-11-03 13:55,Mt. Joy,Sheep,215180
2019-11-03 13:59,Coast Modern,Hollow Life,237880
2019-11-03 14:03,Twiddle,Lost in the Cold,273182
2019-11-03 14:08,The Vegabonds,Shaky Hands,314253
2019-11-03 14:12,Aer,Water on the Moon,231704
2019-11-03 14:15,Cbdb,New Eyes,173105
2019-11-03 14:20,SunSquabi,Just a Little,274042
2019-11-03 20:02,Rainbow Kitten Surprise,Cocaine Jesus,11605
2019-11-03 20:02,Twiddle,Syncopated Healing,853
2019-11-03 20:07,Lotus ,Sodium Vapor,323185
2019-11-03 20:22,Galactic,Church,330522
2019-11-03 20:25,Unified Highway,My Space,229497
2019-11-03 20:30,Spafford,Leave the Light On,253819
2019-11-03 20:34,St. Paul & The Broken Bones,Apollo,283879
2019-11-03 20:38,Vibe Street,Something from Outer Space,236252
2019-11-03 20:39,Coast Modern,The Way It Was,53525
2019-11-03 20:43,Coast Modern,Going Down,210453
2019-11-03 20:46,Coast Modern,Tiny Umbrella,207880
2019-11-03 20:50,Coast Modern,Guru,204066
2019-11-03 20:53,Coast Modern,Dive,208306
2019-11-03 20:56,Coast Modern,Pockets Full Of No,204026
2019-11-03 20:57,Coast Modern,Yemma,14311
2019-11-03 21:01,Coast Modern,Run It Up,234306
2019-11-03 21:04,Coast Modern,Wild Things,214666
2019-11-03 21:08,Coast Modern,Hollow Life,237880
2019-11-03 21:09,Coast Modern,Groovy,39666
2019-11-03 21:11,Coast Modern,Animals,682
2019-11-03 21:11,Coast Modern,Bugs,981
2019-11-03 21:11,Coast Modern,Pogs & Slammers,1023
2019-11-03 21:11,Coast Modern,The Way It Was,938
2019-11-03 21:11,Coast Modern,Frost,7338
2019-11-03 21:11,Coast Modern,Now I'm Cool,1045
2019-11-03 21:11,Coast Modern,Comb My Hair,133341
2019-11-03 21:11,Coast Modern,Honeybee,3349
2019-11-03 21:16,Glass Animals,Mama's Gun,266747
2019-11-03 21:19,Glass Animals,[Premade Sandwiches],15999
2019-11-03 21:19,Glass Animals,Cane Shuga,196570
2019-11-03 21:25,Glass Animals,The Other Side Of Paradise,320654
2019-11-03 21:28,Glass Animals,Take A Slice,229717
2019-11-03 21:33,Glass Animals,Poplar St,262539
2019-11-03 21:51,Glass Animals,Agnes,101200
2019-11-03 21:51,Argonaut & Wasp,Beast of Burden,6720
2019-11-03 21:53,Generationals,TenTwentyTen,1194
2019-11-03 21:53,The Rolling Stones,Beast Of Burden - Remastered,137706
2019-11-03 22:35,Sure Sure,This Must Be The Place,19222
2019-11-03 22:35,The Rolling Stones,Gimme Shelter,270773
2019-11-03 22:37,Lawrence,Casualty,143893
2019-11-03 22:41,DREAMERS,Die Happy,186902
2019-11-03 22:44,grandson,Stick Up,222560
2019-11-03 22:48,half•alive,arrow,222706
2019-11-03 22:51,The Growlers,Night Ride,207302
2019-11-03 22:54,Allan Rayman,Stitch,165826
2019-11-03 22:56,Dead Favours,On Your Own,112777
2019-11-03 22:58,Mild High Club,Note to Self,140000
2019-11-03 23:03,Tasha,Kind of Love,278559
2019-11-03 23:04,BONES UK,I'm Afraid Of Americans,38958
2019-11-03 23:06,Magic City Hippies,Body Like a Weapon,163285
2019-11-03 23:10,Dan Auerbach,Malibu Man,216106
2019-11-03 23:14,Chastity Belt,Different Now,228800
2019-11-03 23:17,APRE,All Yours,173586
2019-11-03 23:21,The Unlikely Candidates,Novocaine,245240
2019-11-03 23:25,The Relatives,Things Are Changing,231853
2019-11-03 23:29,Ratatat,Loud Pipes,226533
2019-11-03 23:31,The Dip,She Gave Me the Keys,145160
2019-11-03 23:34,Big Wild,Crickets,162909
2019-11-03 23:37,Adam Jensen,I Can Hold a Grudge Like Nobody's Business,225804
2019-11-03 23:41,Hotel Mira,Jungle,197584
2019-11-03 23:44,The Dip,Atlas,204867
2019-11-04 13:20,Local Natives,Dark Days,180413
2019-11-04 13:24,Broken Bells,Shelter,239010
2019-11-04 13:29,Clean Bandit,Dust Clears (feat. Noonie Bao),78925
2019-11-04 13:32,cleopatrick,sanjake,182885
2019-11-04 13:45,Blame Candy,Pathetic,124305
2019-11-04 13:45,Lotus ,Sodium Vapor,3668
2019-11-04 13:54,Lotus ,The Opus (Live),557328
2019-11-04 13:59,Lotus ,Sodium Vapor,323185
2019-11-04 14:05,Papadosio,Pool of Stars,321752
2019-11-04 14:11,GRiZ,A Fine Way to Die,400982
2019-11-04 14:18,Lespecial,Jackwise,366986
2019-11-04 14:20,Keller Williams,Freshies,163053
2019-11-04 14:25,Pigeons Playing Ping Pong,F.U.,281000
2019-11-04 14:30,Manic Focus,On the Horizon,279250
2019-11-04 14:35,Dispatch,Midnight Lorry,339360
2019-11-04 14:41,Cbdb,Slow Foxes,321480
2019-11-04 14:47,Twiddle,Every Soul,353036
2019-11-04 14:53,Pigeons Playing Ping Pong,Kiwi,396912
2019-11-04 19:27,Pigeons Playing Ping Pong,Kiwi,510880
